130	PS	1316	58	1327	121	1235	168	1156	5	30	-3	-11	8	37	11	40	30	137	9	52	179	8	68	103	43	94	42	215	322	8	37
131	BW	1311	100	1438	154	1125	190	989	-3	-13	0	8	0	6	6	9	2	19	1	12	241	120	94	27	62	105	74	188	323	0	6
132	GQ	1309	128	1322	160	1115	187	1016	-2	0	-3	0	1	5	6	11	22	95	43	225	100	44	34	22	23	59	18	85	181	1	5
133	LR	1292	70	1521	115	1324	151	1215	1	0	1	0	-4	-22	3	-11	15	57	-24	-81	253	109	110	34	62	130	61	230	390	-4	-22
134	NA	1285	104	1402	143	1238	170	1115	2	0	1	-6	1	-6	-4	-32	-8	-35	30	130	192	83	89	20	43	92	57	193	300	1	-6
135	NE	1281	97	1397	131	1235	154	1082	-4	-17	0	-10	0	-10	-10	-59	10	39	-4	-27	196	75	87	34	40	106	50	187	356	0	-10
136	FJ	1280	76	1474	122	1256	155	1075	1	0	1	0	1	0	4	0	-11	-43	-7	-34	214	87	43	84	100	79	35	508	357	1	0
137	ZN	1277	89	1354	147	1076	169	938	1	0	1	0	2	0	-2	-30	-7	-32	28	130	190	25	40	125	33	120	37	155	415	2	0
138	GF	1274	61	1331	119	1247	171	1125	6	29	5	18	8	27	7	27	16	60	15	61	129	40	44	45	35	67	27	189	238	8	27
139	AG	1270	96	1323	139	1188	179	1060	-6	-23	0	1	2	1	3	1	3	25	33	168	219	86	79	54	74	100	45	320	361	2	1
140	TJ	1262	74	1503	114	1361	150	1230	0	0	2	2	4	2	6	17	-3	-3	-27	-103	113	25	47	41	44	51	18	170	188	4	2
140	TM	1262	69	1536	106	1397	143	1262	0	0	1	0	-15	-85	-24	-108	-9	-36	-25	-96	124	26	46	52	50	50	24	212	177	-15	-85
142	TD	1247	108	1320	130	1254	159	1188	1	0	3	0	6	14	8	14	-3	-9	-10	-52	130	29	45	56	26	72	32	126	248	6	14
143	LS	1240	127	1271	153	1165	174	1105	-4	-28	6	2	4	2	26	94	22	78	20	71	221	90	98	33	40	118	63	180	393	4	2
144	MT	1239	85	1428	113	1335	156	1196	4	4	6	2	1	-14	4	-3	9	20	-2	-8	346	189	142	15	44	244	58	216	802	1	-14
145	CF	1238	75	1435	117	1315	164	1184	0	-4	2	-4	-5	-32	-12	-73	14	54	1	-2	95	22	37	36	18	58	19	105	201	-5	-32
146	DO	1237	140	1272	168	1020	188	913	7	12	-6	-28	-4	-28	-2	-14	34	188	32	167	112	44	39	29	35	59	18	166	214	-4	-28
